"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
ref_id_arm1_pno_valid,matdata,,calc,"Reference Number suffix (participant no) is valid?","if(
    isnumber(mid([ref_id], 4, 1)) and isnumber(mid([ref_id], 5, 1)) and isnumber(mid([ref_id], 6, 1)) and isnumber(mid([ref_id], 7, 1)),
    1,
    0
)",,,,,,,,,,,,"Derived
Data Management
@HIDDEN @HIDDEN-PDF"
ref_id_arm1_valid,matdata,,calc,"Reference Number is valid?","if(
    [ref_id_arm1_len_valid] = 1 and [ref_id_arm1_pfx_valid] = 1 and [ref_id_arm1_sp_valid] = 1 and [ref_id_arm1_pno_valid] = 1,
    1,
    0
)",,,,,,,,,,,,"Derived
Data Management
@HIDDEN @HIDDEN-PDF"
ref_id_arm1_err,matdata,,descriptive,"<div style=""text-align: center; color: #980015; border: 4px solid  #980015; background-color: rgba(152, 0, 21, 0.1); padding: 10px;""> <h5 style=""font-weight: 900;"">Sorry, the record must be assigned to a data access group/site and the Reference Number must follow the correct format, e.g.: 01-0001.</h5> </div> ",,,,,,,"[record-dag-name] = '' and [ref_id_arm1_valid] = '0'",,,,,,"Miscellaneous
@HIDDEN-PDF"
ref_id_arm1_err_nodag,matdata,,descriptive,"<div style=""text-align: center; color: #980015; border: 4px solid  #980015; background-color: rgba(152, 0, 21, 0.1); padding: 10px;""> <h5 style=""font-weight: 900;"">Sorry, the record must be assigned to a data access group/site.</h5> </div> ",,,,,,,"[record-dag-name] = '' and [ref_id_arm1_valid] = '1'",,,,,,"Miscellaneous
@HIDDEN-PDF"
ref_id_arm1_err_format,matdata,,descriptive,"<div style=""text-align: center; color: #980015; border: 4px solid  #980015; background-color: rgba(152, 0, 21, 0.1); padding: 10px;""> <h5 style=""font-weight: 900;"">Sorry, the Reference Number does not follow the correct format, e.g.: [ref_id_arm1_dag_pfx]-0001.</h5> </div>
<h5 style=""text-align:center;"">Please try again with a valid Reference Number, which will be:</h5> <table style=""width: 100%; height: 75.2778px; background-color: #ffffff; border-style: none; border-image: initial; margin-left: auto; margin-right: auto;"" border=""0""> <colgroup> <col style=""width: 44.5%;""> <col style=""width: 11%;""> <col style=""width: 44.5%;""> </colgroup> <tbody> <tr style=""height: 32.6389px;""> <td style=""text-align: right; border-right: 1px dashed  rgb(186, 55, 42); padding: 3px; border-bottom: 2px solid rgb(186, 55, 42);""> <h5 style=""font-weight: 900;"">[ref_id_arm1_dag_pfx]</h5> </td> <td style=""text-align: center; border-right: 1px dashed  rgb(186, 55, 42); padding: 3px; border-bottom: 2px solid rgb(186, 55, 42);""> <h5 style=""font-weight: 900;"">-</h5> </td> <td style=""text-align: left; padding: 3px; border-bottom: 2px solid rgb(186, 55, 42);""> <h5 style=""font-weight: 900;"">0123</h5> </td> </tr> <tr style=""height: 42.6389px;""> <td style=""text-align: right; border-right: 1px dashed  rgb(186, 55, 42); padding: 3px;""> <h6 style=""font-weight: normal;""> <em>The number prefix for the record's data access group, [arm1_site_shortlabel]</em> </h6> </td> <td style=""text-align: center; border-right: 1px dashed  rgb(186, 55, 42); padding: 3px;""> <h6 style=""font-weight: normal;""> <em>A dash</em> </h6> </td> <td style=""text-align: left; padding: 3px;""> <h6 style=""font-weight: normal;""> <em>A unique number, with zeroes padding the beginning so that there are 4 total numbers</em> </h6> </td> </tr> </tbody> </table> 
<h5 style=""text-align:center;"">Valid Reference Number builder:</h5> <table style=""height: 99.4445px; background-color: #ffffff; border-style: none; border-image: initial; margin-left: auto; margin-right: auto;"" border=""0""> <tbody> <tr style=""height: 24.8611px;""> <td style=""text-align: right; padding: 3px;border-right: 1px dashed  rgb(186, 55, 42); border-bottom: 2px solid rgb(186, 55, 42);""> <h6 style=""font-weight: 900;"">Enter a number for the participant:</h6> <h6 style=""margin-top: 0px; font-weight: normal;""> <em>For instance, for the 10th participant, you could enter 10.</em> </h6> </td> <td style=""text-align: left; padding: 3px; border-bottom: 2px solid rgb(186, 55, 42);""> <h6 style=""font-weight: 900;"">{ref_id_arm1_builder_no}</h6> </td> </tr> <tr style=""height: 24.8611px;""> <td style=""text-align: right; padding: 3px;border-right: 1px dashed  rgb(186, 55, 42);""> <h6 style=""font-weight: 900;"">Result:</h6> <h6 style=""margin-top: 0px; font-weight: normal;""> <em>Use this when creating a new record</em> </h6> </td> <td style=""text-align: left; padding: 3px;""> <h6 style=""font-weight: 900;"">{ref_id_arm1_builder_rslt}</h6> </td> </tr> </tbody> </table>",,,,,,,"[record-dag-name] <> '' and [ref_id_arm1_valid] = '0'",,,,,,"Miscellaneous
@HIDDEN-PDF"
ref_id_arm1_builder_no,matdata,,text,"Participant Number",,,integer,1,9999,,,,,,,,"Miscellaneous
@FORCE-MINMAX"
ref_id_arm1_builder_rslt,matdata,,text,Result,,,,,,,,,,,,,"Derived
Miscellaneous
@CALCTEXT(
if(
    [ref_id_arm1_builder_no] <> '',
    concat(
        [ref_id_arm1_dag_pfx], 
        '-', 
        if(length([ref_id_arm1_builder_no]) = 1,
            concat('000',[ref_id_arm1_builder_no]),
            if(length([ref_id_arm1_builder_no]) = 2,
                concat('00',[ref_id_arm1_builder_no]),
                if(length([ref_id_arm1_builder_no]) = 3,
                    concat('0',[ref_id_arm1_builder_no]),
                    [ref_id_arm1_builder_no]
                )
            )
        )
    
    ),
    '')
)"
matdata_version,matdata,,dropdown,"Form Version","1.0, v1.0 27-May-2025",,,,,,,,,,,,"Data Management
@HIDDEN @DEFAULT='1.0' @NOMISSING @SAVE-PROMPT-EXEMPT-WHEN-AUTOSET"
matdata_app_lasteditedby,matdata,,text,"REDCap Mobile App - Last Edited By",,,,,,,,,,,,,"Data Management
@HIDDEN @HIDDEN-PDF @READONLY @APPUSERNAME-APP"
matdata_title,matdata,,descriptive,"<h2 class=""h4"" style=""text-align: center; text-transform: capitalize;"">Maternal Data</h2>",,,,,,,"[ref_id_arm1_valid] = '1'",,,,,,"Miscellaneous
@HIDDEN-PDF"
matdata_form_date,matdata,,text,"Date form first opened & saved (for use in age calculation based upon DOB)",,,date_dmy,,,,,,,,,,"Data Management
@DEFAULT=@TODAY @READONLY @HIDDEN @HIDDEN-PDF"
matdata_birth_locs,matdata,,checkbox,"Location(s) of birth(s)","labour_ward, Labour ward | maternity_theatre, Maternity theatre | other, Other | unknown, Unknown",,,,,,"[ref_id_arm1_valid] = '1'",y,,,,,"Eligibility
@NOMISSING @NONEOFTHEABOVE='unknown'"
matdata_birth_locs_elig,matdata,,text,"Mother has at least one valid birth location selected (calc)",,,,,,,,,,,,,"Derived
Data Management
Eligibility
@HIDDEN @HIDDEN-PDF @CALCTEXT(
    if(
        [matdata_birth_locs(labour_ward)] = '1' or [matdata_birth_locs(maternity_theatre)] = '1',
        1,
        0
    )
)"
matdata_birt_locs_unsel,matdata,,text,"Location(s) of birth not selected (calc) (used to disable options not selected on baby forms)",,,,,,,,y,,,,,"Derived
Data Management
@HIDDEN @HIDDEN-PDF @CALCTEXT(
concat_ws(',',
    if([matdata_birth_locs(labour_ward)] = '0','labour_ward',''),
    if([matdata_birth_locs(maternity_theatre)] = '0','maternity_theatre',''),
    if([matdata_birth_locs(other)] = '0','other',''),
    if([matdata_birth_locs(unknown)] = '0','unknown','')
)
)"
matdata_ineligible,matdata,,descriptive,"<div class=""rich-text-field-label""><div style=""font-size: 120%; text-align: center; padding: 10px; color: #980015; border: 4px solid  #980015; background-color: rgba(152, 0, 21, 0.1);"">The baby/babies born to this person are <em><span style=""text-decoration: underline;"">ineligible</span></em>, as, according to the data entered, none were born in the labour ward/maternity theatre. No further data is required.  Please remember reasons for not being included need to be recorded in the screening log.</div></div>",,,,,,,"[matdata_birth_locs(labour_ward)] = '0' and [matdata_birth_locs(maternity_theatre)] = '0' and ([matdata_birth_locs(other)] = '1' or [matdata_birth_locs(unknown)] = '1')",,,,,,"Miscellaneous
@HIDDEN-PDF"
matdata_dob_known,matdata,,radio,"Is the mothers' date of birth known?","yes, Yes | no, No",,,,,,"[ref_id_arm1_valid] = '1'",y,,,,,"Data Management
@NOMISSING"
matdata_dob,matdata,,text,"Date of birth",,,date_dmy,[matdata_dob_min],[matdata_dob_max],y,"[matdata_dob_known] = 'yes'",y,,,,,"Participant Identifier
Demographics
@HIDEBUTTON @NOMISSING @FORCE-MINMAX"
matdata_dob_min,matdata,,text,"Date of birth minimum",,,date_dmy,,,y,,,,,,,"Derived
Data Management
Participant Identifier
@HIDDEN @HIDDEN-PDF @READONLY @CALCDATE([matdata_form_date], -113, 'y')"
matdata_dob_max,matdata,,text,"Date of birth maximum",,,date_dmy,,,y,,,,,,,"Derived
Data Management
Participant Identifier
@HIDDEN @HIDDEN-PDF @READONLY @CALCDATE([matdata_form_date], -5, 'y')"
matdata_age_calc,matdata,,calc,"Age at time of maternal data form first being opened and saved OR as reported on maternal data form if date of birth was reported as unknown (hidden)","if([matdata_dob] <> '',
((((rounddown(((datediff([matdata_form_date],""28-02-1900"",""d"",""dmy""))/365.25),0))-(rounddown(((datediff([matdata_dob],""28-02-1900"",""d"",""dmy""))/365.25),0))))-(if(((datediff([matdata_dob],""28-02-1900"",""d"",""dmy"")) - rounddown(((rounddown(((datediff([matdata_dob],""28-02-1900"",""d"",""dmy""))/365.25),0))*365.25),0)) > (datediff([matdata_form_date],""28-02-1900"",""d"",""dmy"")) - rounddown(((rounddown(((datediff([matdata_form_date],""28-02-1900"",""d"",""dmy""))/365.25),0))*365.25),0),1,0))),
[matdata_age]
)",,,,,y,,,,,,,"Derived
Data Management
Participant Identifier
@HIDDEN @HIDDEN-PDF"
matdata_age,matdata,,text,"Age (if date of birth unknown)",,,number,5,112,y,"[matdata_dob_known] = 'no'",y,,,,,"Participant Identifier
Demographics
@NOMISSING @FORCE-MINMAX"
matdata_dob_val_warn,matdata,,descriptive,"<div style=""font-size: 120%; text-align: center; padding: 10px; color: #843a00; border: 4px solid  #843a00; background-color: rgba(132, 58, 0, 0.1);"">The date of birth entered for this person - [matdata_dob]  - indicates this person is [matdata_age_calc] years old. Please doublecheck this value and ensure it is correct.</div>",,,,,,,"[matdata_dob] <> '' and ([matdata_age_calc] < 15 or [matdata_age_calc] > 49)",,,,,,"Miscellaneous
@HIDDEN-PDF @HIDDEN-APP"
matdata_age_val_warn,matdata,,descriptive,"<div style=""font-size: 120%; text-align: center; padding: 10px; color: #843a00; border: 4px solid  #843a00; background-color: rgba(132, 58, 0, 0.1);"">The age entered for this person indicates they are [matdata_age] years old. Please doublecheck this value and ensure it is correct.</div>",,,,,,,"[matdata_age] <> '' and ([matdata_age] < 15 or [matdata_age] > 49)",,,,,,"Miscellaneous
@HIDDEN-PDF"
matdata_age_val_warn_2,matdata,,descriptive,"<div style=""font-size: 120%; text-align: center; padding: 10px; color: #843a00; border: 4px solid  #843a00; background-color: rgba(132, 58, 0, 0.1);"">The age entered for this person indicates they are [matdata_age] years old. Please doublecheck this value and ensure it is correct.</div>",,,,,,,"[matdata_age] <> '' and ([matdata_age] < 15 or [matdata_age] > 49)",,,,,,"Miscellaneous
@HIDDEN-PDF"
matdata_gravida,matdata,"<h3 class=""h5"" style=""text-align: center; text-transform: capitalize;"">Pregnancy History</h3>",text,"Total number of pregnancies (irrespective of outcome)",,,number,0,903,,"[matdata_birth_locs(labour_ward)] = '1' or [matdata_birth_locs(maternity_theatre)] = '1'",y,,,,,"Medical History
// National Institutes of Health (NIH) | (.gov) https://pmc.ncbi.nlm.nih.gov > articles > PMC2244694 by M Chavez-MacGregor · 2007 · Cited by 72 - The median number of lifetime menstrual cycles was 451.3. For the absolute max, 451.3 * 2 = 902.6, rounded up to 903, should do.
@FORCE-MINMAX"
matdata_gravida_val_warn,matdata,,descriptive,"<div style=""font-size: 120%; text-align: center; padding: 10px; color: #843a00; border: 4px solid  #843a00; background-color: rgba(132, 58, 0, 0.1);"">The number entered for 'Total number pregnancies (irrespective of outcome)' is [matdata_gravida]. Please doublecheck this value and ensure it is correct.</div>",,,,,,,"[matdata_gravida] > 24",,,,,,"Miscellaneous
@HIDDEN-PDF"
matdata_parity,matdata,,text,"Total number of births >28 weeks gestational age (irrespective of outcome)",,,number,0,138,,"[matdata_birth_locs(labour_ward)] = '1' or [matdata_birth_locs(maternity_theatre)] = '1'",y,,,,,"Medical History
// The maximum number of births a woman has ever had is 69, a record held by Valentina Vassilyeva of 18th-century Russia. Between 1725 and 1765, she gave birth 27 times, including 16 sets of twins, 7 sets of triplets, and 4 sets of quadruplets. For the absolute maximum, 69 * 2 = 138
@FORCE-MINMAX"
matdata_parity_val_warn,matdata,,descriptive,"<div style=""font-size: 120%; text-align: center; padding: 10px; color: #843a00; border: 4px solid  #843a00; background-color: rgba(132, 58, 0, 0.1);"">The number entered for 'Total number of births >28 weeks gestational age (irrespective of outcome)' is [matdata_parity]. Please doublecheck this value and ensure it is correct.</div>",,,,,,,"[matdata_parity] > 29",,,,,,"Miscellaneous
@HIDDEN-PDF"
matdata_were_pregcomp,matdata,"<h3 class=""h5"" style=""text-align: center; text-transform: capitalize;"">About This Latest Pregnancy/Delivery</h3>",radio,"Were there any pregnancy complications?","yes, Yes | no, No | unknown, Unknown",,,,,,"[matdata_birth_locs(labour_ward)] = '1' or [matdata_birth_locs(maternity_theatre)] = '1'",y,,,,,"Medical History
@NOMISSING"
matdata_pregcomp,matdata,,checkbox,"Please select from the list of pregnancy complications","antepartum_haemorrhage, Antepartum haemorrhage | diabetes_in_pregnancy_incl_gdm, Diabetes in pregnancy (including GDM) | fetal_distress_non_reass_fetal_status_obstructed_labour, Fetal distress/non reassuring fetal status, obstructed labour | maternal_fever_more_than_38c, Maternal fever >38.0c | maternal_infection_on_microscopy_culture, Maternal infection (on microscopy culture) | pre_exlampsia, Pre-eclampsia | preterm_prelabour_rupture_of_membranes_pprom, Preterm prelabour rupture of membranes (PPROM) | prolonged_rupture_of_membranes_prom, Prolonged rupture of membranes (PROM) | none_of_the_above, None of the above","Tick all that apply",,,,,"[matdata_were_pregcomp] = 'yes'",y,,,,,"Medical History
@NONEOFTHEABOVE='none_of_the_above'"
matdata_steroids,matdata,,radio,"Were antenatal corticosteroids administered?","yes, Yes | no, No | unknown, Unknown",,,,,,"[matdata_birth_locs(labour_ward)] = '1' or [matdata_birth_locs(maternity_theatre)] = '1'",y,,,,,"Medical History
@NOMISSING"
matdata_multiple,matdata,,radio,"Multiple birth","yes, Yes | no, No",,,,,,"[matdata_birth_locs(labour_ward)] = '1' or [matdata_birth_locs(maternity_theatre)] = '1'",y,,,,,"Medical History
@NOMISSING"
matdata_multiple_type,matdata,,radio,"Please select type of multiple birth","twins, Twins | triplets, Triplets | other_more_than_triplets, Other (More than triplets)",,,,,,"[matdata_multiple] = 'yes'",y,,,,,"Medical History
@NOMISSING"
matdata_multiple_num,matdata,,text,"If the pregnancy was more than triplets, please state the number of babies born (irrespective of stillbirth)",,,number,4,30,,"[matdata_multiple_type] = 'other_more_than_triplets'",y,,,,,"Medical History
// Largest recorded number of fetuses is 15 in a single uterus (Dr. Gennaro Montanino of Rome reported removing 15 fetuses from a 35-year-old woman on July 22, 1971), did this number * 2 for the absolute maximum
@FORCE-MINMAX @NOMISSING"
matdata_multiple_num_calc,matdata,,calc,"Number of babies calc (for piping)","if(
    [matdata_multiple_type:value] = 'twins',
   2,
   if(
        [matdata_multiple_type:value] = 'triplets',
       3,
       if(
            [matdata_multiple_type:value] = 'other_more_than_triplets',
           [matdata_multiple_num],
           ''
        )
    )
)",,,,,,,y,,,,,"Derived
Data Management
@HIDDEN @HIDDEN-PDF"
matdata_multiple_num_warn,matdata,,descriptive,"<div style=""font-size: 120%; text-align: center; padding: 10px; color: #843a00; border: 4px solid  #843a00; background-color: rgba(132, 58, 0, 0.1);"">The number entered for ""If the pregnancy was more than triplets, please state the number of babies born (irrespective of stillbirth)"" is [matdata_multiple_num]. Please doublecheck this value and ensure it is correct.</div>",,,,,,,"[matdata_multiple_num] > 9",,,,,,"Miscellaneous
@HIDDEN-PDF"
matdata_multiple_num_live,matdata,,text,"Of the [matdata_multiple_num_calc] babies born, how many were live births?",,,number,1,[matdata_multiple_num_calc],,"[matdata_multiple] = 'yes' AND [matdata_multiple_num_calc] <> ''",y,,,,,"Medical History
@FORCE-MINMAX @NOMISSING"
matdata_multiple_num_live_warn,matdata,,descriptive,"<div style=""font-size: 120%; text-align: center; padding: 10px; color: #843a00; border: 4px solid  #843a00; background-color: rgba(132, 58, 0, 0.1);"">The number entered for ""Of the [matdata_multiple_num] babies born, how many were live births?"" is [matdata_multiple_num_live]. Please doublecheck this value and ensure it is correct.</div>",,,,,,,"[matdata_multiple_num] > 9",,,,,,"Miscellaneous
@HIDDEN-PDF"
babyenrol_version,babyenrol,,dropdown,"Form Version","1.0, v1.0 27-May-2025",,,,,,,,,,,,"Data Management
@HIDDEN @DEFAULT='1.0' @NOMISSING @SAVE-PROMPT-EXEMPT-WHEN-AUTOSET"
babyenrol_app_lasteditedby,babyenrol,,text,"REDCap Mobile App - Last Edited By",,,,,,,,,,,,,"Data Management
@HIDDEN @HIDDEN-PDF @READONLY @APPUSERNAME-APP"
babyenrol_title,babyenrol,,descriptive,"<h2 class=""h4"" style=""text-align: center; text-transform: capitalize;"">Baby Enrolment - [record-name] Baby #[current-instance]</h2>",,,,,,,,,,,,,"Miscellaneous
@HIDDEN-PDF"
babyenrol_loc_birth,babyenrol,"<h3 class=""h5"" style=""text-align: center; text-transform: capitalize;"">Eligibility</h3>",radio,"Location of birth
{babyenrol_loc_birth_note}","labour_ward, Labour ward | maternity_theatre, Maternity theatre | other, Other | unknown, Unknown","NOTE: Option(s) available here are shown if they are selected on the maternal data form.",,,,,,y,,,,,"Eligibility
Medical History
Primary Outcome Not Primary Analysis
@NOMISSING @DEFAULT='[babyenrol_loc_birth:value][previous-instance]' @HIDECHOICE='[trial_data__mother_arm_1][matdata_birt_locs_unsel]'"
babyenrol_loc_birth_note,babyenrol,,descriptive,"<div class=""rich-text-field-label""><p><em><span style=""font-weight: normal;"">Default value: [babyenrol_loc_birth][previous-instance] (pulled from baby #[previous-instance]) - Please doublecheck and ensure this default value is correct.</span></em></p></div>",,,,,,,"[current-instance] <> 1 and [babyenrol_loc_birth][previous-instance] <> ''",,,,,,"Miscellaneous
@HIDDEN-PDF"
babyenrol_anom,babyenrol,,radio,"Was the baby born with a lethal congenital anomaly (e.g. anencephaly, Trisomy 13, Trisomy 18)?","yes, Yes | no, No",,,,,,,y,,,,,"Eligibility
@NOMISSING"
babyenrol_surv,babyenrol,,radio,"According to the attending clinician, does the baby have a reasonable prospect of survival?","yes, Yes | no, No",,,,,,,y,,,,,"Eligibility
@NOMISSING"
babyenrol_weight,babyenrol,,text,"Birth weight",,grams,number,0,20000,,,y,,,,,"Eligibility
Medical History
Primary Outcome Not Primary Analysis
// Largest birth weight was a baby born to Anna Bates (née Swan), she gave birth to a boy weighing 9.98 kg at her home in Seville, Ohio, USA, on 19 January 1879 -- generally for upper limit we do highest recorded number * 2 - https://www.guinnessworldrecords.com/world-records/heaviest-birth
@FORCE-MINMAX @NOMISSING"
babyenrol_gestage_weeks,babyenrol,,text,"Gestational age at birth - weeks",,,number,0,44,,,y,,,,,"Eligibility
Medical History
@FORCE-MINMAX @NOMISSING"
babyenrol_gestage_days,babyenrol,,text,"Gestational age at birth - days",,,number,0,6,,,y,,,,,"Eligibility
Medical History
@FORCE-MINMAX @NOMISSING @DEFAULT=0"
babyenrol_gestage_howcalc,babyenrol,,radio,"How was the gestational age calculated?
{babyenrol_gestage_howcalc_note}","ultrasound, Ultrasound | last_menstrual_period_lmp, Last menstrual period (LMP) | antenatal_examination_of_mother, Antenatal examination of mother | clinical_examination_of_baby, Clinical examination of baby | unknown, Unknown",,,,,,,y,,,,,"Medical History
@NOMISSING @NONEOFTHEABOVE='unknown'"
babyenrol_gestage_howcalc_note,babyenrol,,descriptive,"<div class=""rich-text-field-label""><p><em><span style=""font-weight: normal;"">Default value: [babyenrol_gestage_howcalc][previous-instance] (pulled from baby #[previous-instance]) - Please doublecheck and ensure this default value is correct.</span></em></p></div>",,,,,,,"[current-instance] <> 1 and [babyenrol_gestage_howcalc][previous-instance] <> ''",,,,,,"Miscellaneous
@HIDDEN-PDF"
babyenrol_eligible_calc,babyenrol,,calc,"Baby is eligible (calc)","if(
  [babyenrol_loc_birth] <> '' and [babyenrol_weight] <> '' and [babyenrol_gestage_weeks] <> '' and [babyenrol_anom] <> '' and [babyenrol_surv] <> '',
  if(
    ([babyenrol_loc_birth] = 'other') or ([babyenrol_loc_birth] = 'unknown') or ([babyenrol_weight] >= 2500 and [babyenrol_gestage_weeks] >= 37) or ([babyenrol_gestage_weeks] < 24) or ([babyenrol_weight] < 500) or ([babyenrol_anom] = 'yes') or ([babyenrol_surv] = 'no'),
    0,
    1
  ),
  ''
)",,,,,,,,,,,,"Eligibility
Derived
Data Management
@HIDDEN @HIDDEN-PDF"
babyenrol_elig_failure,babyenrol,,descriptive,"<div style=""font-size: 120%; padding: 10px;padding-bottom:0px; color: #980015; border: 4px solid  #980015; background-color: rgba(152, 0, 21, 0.1);""><span style=""font-size: 120%;"">This baby is not eligible for the following reason(s):</span> <ul>{babyenrol_inel_loc}{babyenrol_inel_inc}{babyenrol_inel_ga}{babyenrol_inel_weight}{babyenrol_inel_anom}{babyenrol_inel_surv}</ul> No further data is required.  Please remember reasons for not being included need to be recorded in the screening log.</div>",,,,,,,"[babyenrol_eligible_calc] = '0'",,,,,,"Miscellaneous
@HIDDEN-PDF @HIDDEN-APP"
babyenrol_curr_view_is_app,babyenrol,,text,"Custom field to discern if this form is being viewed in the REDCap Mobile App
(Uses javascript injector module to set value to false)",,,,,,,,y,,,,,"Miscellaneous
Data Management
@SETVALUE='1' @HIDDEN-PDF @HIDDEN"
babyenrol_elig_failure_app,babyenrol,,descriptive,"<div style=""font-size: 120%; padding: 10px;padding-bottom:0px; color: #980015; border: 4px solid  #980015; background-color: rgba(152, 0, 21, 0.1);""><span style=""font-size: 120%;"">This baby is not eligible as it meets one or more of the following conditions:</span> <ul><li>Not born in the labour ward/maternity theatre</li><li>Neither preterm (born at < 37 weeks' gestation) nor low-birth weight (LBW; birth weight < 2.5kg)</li><li>Born at < 24 weeks gestation (GA)</li><li>< 500g birthweight</li><li>Lethal congenital anomaly identified at time of delivery</li><li>No reasonable prospect of survival, according to the attending clinician</li></ul> No further data is required.  Please remember reasons for not being included need to be recorded in the screening log.</div>",,,,,,,"[babyenrol_eligible_calc] = '0' and [babyenrol_curr_view_is_app] = '1'",,,,,,"Miscellaneous
@HIDDEN-PDF"
babyenrol_inel_loc,babyenrol,,descriptive,"<li>Not born in the labour ward/maternity theatre</li>",,,,,,,"[babyenrol_loc_birth] <> '' and ([babyenrol_loc_birth] = 'other' or [babyenrol_loc_birth] = 'unknown')",,,,,,"Miscellaneous
@HIDDEN-PDF"
babyenrol_inel_inc,babyenrol,,descriptive,"<li>Neither preterm (born at < 37 weeks' gestation) nor low-birth weight (LBW; birth weight < 2.5kg)</li>",,,,,,,"[babyenrol_weight] <> '' and [babyenrol_gestage_weeks] <> '' and [babyenrol_weight] >= 2500 and [babyenrol_gestage_weeks] >= 37",,,,,,"Miscellaneous
@HIDDEN-PDF"
babyenrol_inel_ga,babyenrol,,descriptive,"<li>Born at < 24 weeks gestation (GA)</li>",,,,,,,"[babyenrol_gestage_weeks] <> '' and [babyenrol_gestage_weeks] < 24",,,,,,"Miscellaneous
@HIDDEN-PDF"
babyenrol_inel_weight,babyenrol,,descriptive,"<li>< 500g birthweight</li>",,,,,,,"[babyenrol_weight] <> '' and [babyenrol_weight] < 500",,,,,,"Miscellaneous
@HIDDEN-PDF"
babyenrol_inel_anom,babyenrol,,descriptive,"<li>Lethal congenital anomaly identified at time of delivery</li>",,,,,,,"[babyenrol_anom] <> '' and [babyenrol_anom] = 'yes'",,,,,,"Miscellaneous
@HIDDEN-PDF"
babyenrol_inel_surv,babyenrol,,descriptive,"<li>No reasonable prospect of survival, according to the attending clinician </li>",,,,,,,"[babyenrol_surv] <> '' and [babyenrol_surv] = 'no'",,,,,,"Miscellaneous
@HIDDEN-PDF"
